id;deglat;minlat;seclat;deglong;minlong;seclong;utmzone;utmeast;utmnorth;utmsrid;decimlat;decimlong
2018-00826;56;31;22.8;-111;16;12.8;;;;;;
2018-00880;56;38;58.3;-111;18;47.5;;;;;;
2018-00899;56;38;6;-111;9;5.7;;;;;;
2018-00902;56;38;5.6;-111;9;7.2;;;;;;
2018-00949;56;31;23;-111;16;14.8;;;;;;
2022-15129;;;;;;;;;;;;
2018-01318;;;;;;;;;;;;
2018-01319;;;;;;;;;;;;
2018-05515;53;47;35;-113;51;11;;;;;;
2018-05523;53;47;35;-113;51;11;;;;;;
2018-05524;53;47;35;-113;51;11;;;;;;
2018-05529;53;47;35;-113;51;11;;;;;;
2023-02418;;;;;;;;;;;;
2023-02419;;;;;;;;;;;;
2023-02420;;;;;;;;;;;;
2023-02421;;;;;;;;;;;;
2018-01309;;;;;;;;;;;;
2018-01315;;;;;;;;;;;;
2018-00480;56;29;35;-111;13;52.8;;;;;;
2018-00509;56;38;58.3;-111;18;47.5;;;;;;
2018-00525;56;38;58.4;-111;18;50.7;;;;;;
2018-00538;56;23;54.6;-111;35;3.5;;;;;;
2018-00617;56;22;1.4;-111;35;2.7;;;;;;
2018-00760;56;26;9.6;-111;12;22.3;;;;;;
2018-01102;56;22;1.4;-111;35;2.7;;;;;;
2018-01868;55;22;19;-111;9;4;;;;;;
2018-01962;55;22;27;-111;10;13;;;;;;
2018-01989;55;22;22;-111;10;23;;;;;;
2018-02161;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02246;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02370;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02371;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02372;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-03008;;;;;;;11;416683;6298008;32611;;
2018-03030;;;;;;;11;419304.94;6295726.98;32611;;
2018-03056;;;;;;;11;414724;6293340;32611;;
2018-03166;;;;;;;11;416731.25;6292891.5;32611;;
2018-03167;;;;;;;11;415973.17;6291824.75;32611;;
2018-03168;;;;;;;11;419071.17;6295705.92;32611;;
2018-03169;;;;;;;11;418261.78;6296531.83;32611;;
2018-03170;;;;;;;11;418584.58;6300308.25;32611;;
2018-03171;;;;;;;11;416490.05;6298188.91;32611;;
2018-03172;;;;;;;11;416873.78;6298662.49;32611;;
2018-03173;;;;;;;11;418772.53;6299305.5;32611;;
2018-03174;;;;;;;11;414690.37;6293092.48;32611;;
2018-03175;;;;;;;11;418826.96;6296682.98;32611;;
2018-03176;;;;;;;11;417033.28;6298321.05;32611;;
2018-03177;;;;;;;;;;;;
2018-03178;;;;;;;;;;;;
2018-03179;;;;;;;;;;;;
2018-03180;;;;;;;;;;;;
2018-04605;54;34;59;-110;28;15;;;;;;
2018-04608;54;34;59;-110;28;15;;;;;;
2018-04657;55;6;37.88;-118;45;37.3;;;;;;
2018-04736;55;22;14;-111;10;36;;;;;;
2018-04803;55;22;19;-111;9;4;;;;;;
2018-04883;55;1;46;-111;58;15;;;;;;
2018-05234;;;;;;;;;;;;
2018-05237;;;;;;;;;;;;
2018-05334;;;;;;;;;;;;
2021-35008;55;6;38.12;118;45;38.68;;;;;;
2021-35202;;;;;;;;;;;;
2021-35421;;;;;;;;;;;;
2021-35438;;;;;;;;;;;;
2022-15124;;;;;;;;;;;;
2022-15212;;;;;;;;;;;;
2022-15402;;;;;;;;;;;;
2022-15435;;;;;;;;;;;;
2022-15572;;;;;;;;;;;;
2023-02011;;;;;;;;;;;;
2023-02111;;;;;;;;;;;;
2018-01213;;;;;;;;;;;;
2018-05516;53;47;35;-113;51;11;;;;;;
2022-15200;53;47;35;-113;51;11;;;;;;
2018-00001;56;26;9.9;-111;12;23;;;;;;
2018-00013;56;25;56.9;-111;6;29.3;;;;;;
2018-00028;56;26;10.7;-111;12;23.3;;;;;;
2018-01600;55;22;22;-111;10;23;;;;;;
2018-01761;55;22;14;-111;10;36;;;;;;
2018-01796;55;22;19;-111;9;7;;;;;;
2018-02168;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02263;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02413;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02474;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02492;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02575;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02580;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02584;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02586;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02599;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02636;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02662;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
