id;deglat;minlat;seclat;deglong;minlong;seclong;utmzone;utmeast;utmnorth;utmsrid;decimlat;decimlong;lat_decimal;lon_decimal
2018-00826;56.0;31.0;22.8;-111.0;16.0;12.8;;;;;;;56.522999999999996;-110.72977777777778
2018-00880;56.0;38.0;58.3;-111.0;18.0;47.5;;;;;;;56.64952777777778;-110.68680555555555
2018-00899;56.0;38.0;6.0;-111.0;9.0;5.7;;;;;;;56.635;-110.84841666666667
2018-00902;56.0;38.0;5.6;-111.0;9.0;7.2;;;;;;;56.63488888888889;-110.848
2018-00949;56.0;31.0;23.0;-111.0;16.0;14.8;;;;;;;56.52305555555555;-110.72922222222222
2022-15129;;;;;;;;;;;;;;
2018-01318;;;;;;;;;;;;;;
2018-01319;;;;;;;;;;;;;;
2018-05515;53.0;47.0;35.0;-113.0;51.0;11.0;;;;;;;53.793055555555554;-112.14694444444444
2018-05523;53.0;47.0;35.0;-113.0;51.0;11.0;;;;;;;53.793055555555554;-112.14694444444444
2018-05524;53.0;47.0;35.0;-113.0;51.0;11.0;;;;;;;53.793055555555554;-112.14694444444444
2018-05529;53.0;47.0;35.0;-113.0;51.0;11.0;;;;;;;53.793055555555554;-112.14694444444444
2023-02418;;;;;;;;;;;;;;
2023-02419;;;;;;;;;;;;;;
2023-02420;;;;;;;;;;;;;;
2023-02421;;;;;;;;;;;;;;
2018-01309;;;;;;;;;;;;;;
2018-01315;;;;;;;;;;;;;;
2018-00480;56.0;29.0;35.0;-111.0;13.0;52.8;;;;;;;56.49305555555556;-110.76866666666666
2018-00509;56.0;38.0;58.3;-111.0;18.0;47.5;;;;;;;56.64952777777778;-110.68680555555555
2018-00525;56.0;38.0;58.4;-111.0;18.0;50.7;;;;;;;56.64955555555556;-110.68591666666667
2018-00538;56.0;23.0;54.6;-111.0;35.0;3.5;;;;;;;56.3985;-110.41569444444445
2018-00617;56.0;22.0;1.4;-111.0;35.0;2.7;;;;;;;56.36705555555556;-110.41591666666667
2018-00760;56.0;26.0;9.6;-111.0;12.0;22.3;;;;;;;56.436;-110.79380555555555
2018-01102;56.0;22.0;1.4;-111.0;35.0;2.7;;;;;;;56.36705555555556;-110.41591666666667
2018-01868;55.0;22.0;19.0;-111.0;9.0;4.0;;;;;;;55.371944444444445;-110.84888888888888
2018-01962;55.0;22.0;27.0;-111.0;10.0;13.0;;;;;;;55.37416666666667;-110.82972222222222
2018-01989;55.0;22.0;22.0;-111.0;10.0;23.0;;;;;;;55.37277777777778;-110.82694444444444
2018-02161;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02246;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02370;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02371;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02372;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-03008;;;;;;;11.0;416683.0;6298008.0;32611.0;;;56.81845384907626;-118.36493361466408
2018-03030;;;;;;;11.0;419304.94;6295726.98;32611.0;;;56.79842936571786;-118.32127202043974
2018-03056;;;;;;;11.0;414724.0;6293340.0;32611.0;;;56.77617503021844;-118.39545785197197
2018-03166;;;;;;;11.0;416731.25;6292891.5;32611.0;;;56.77250997406932;-118.3624758605979
2018-03167;;;;;;;11.0;415973.17;6291824.75;32611.0;;;56.76279316352707;-118.37452562734629
2018-03168;;;;;;;11.0;419071.17;6295705.92;32611.0;;;56.798199638806025;-118.32509185561956
2018-03169;;;;;;;11.0;418261.78;6296531.83;32611.0;;;56.80547599932245;-118.33860469913607
2018-03170;;;;;;;11.0;418584.58;6300308.25;32611.0;;;56.83944977445119;-118.33452543037284
2018-03171;;;;;;;11.0;416490.05;6298188.91;32611.0;;;56.820044038008625;-118.36815280417764
2018-03172;;;;;;;11.0;416873.78;6298662.49;32611.0;;;56.82436608958252;-118.36202248197685
2018-03173;;;;;;;11.0;418772.53;6299305.5;32611.0;;;56.83047665722504;-118.33112596372062
2018-03174;;;;;;;11.0;414690.37;6293092.48;32611.0;;;56.77394586076293;-118.39592544973782
2018-03175;;;;;;;11.0;418826.96;6296682.98;32611.0;;;56.80693244545914;-118.32939978999374
2018-03176;;;;;;;11.0;417033.28;6298321.05;32611.0;;;56.82132802393179;-118.35929883660475
2018-03177;;;;;;;;;;;;;;
2018-03178;;;;;;;;;;;;;;
2018-03179;;;;;;;;;;;;;;
2018-03180;;;;;;;;;;;;;;
2018-04605;54.0;34.0;59.0;-110.0;28.0;15.0;;;;;;;54.58305555555556;-109.52916666666667
2018-04608;54.0;34.0;59.0;-110.0;28.0;15.0;;;;;;;54.58305555555556;-109.52916666666667
2018-04657;55.0;6.0;37.88;-118.0;45.0;37.3;;;;;;;55.11052222222222;-117.23963888888889
2018-04736;55.0;22.0;14.0;-111.0;10.0;36.0;;;;;;;55.370555555555555;-110.82333333333332
2018-04803;55.0;22.0;19.0;-111.0;9.0;4.0;;;;;;;55.371944444444445;-110.84888888888888
2018-04883;55.0;1.0;46.0;-111.0;58.0;15.0;;;;;;;55.029444444444444;-110.02916666666667
2018-05234;;;;;;;;;;;;;;
2018-05237;;;;;;;;;;;;;;
2018-05334;;;;;;;;;;;;;;
2021-35008;55.0;6.0;38.12;118.0;45.0;38.68;;;;;;;55.11058888888889;118.76074444444444
2021-35202;;;;;;;;;;;;;;
2021-35421;;;;;;;;;;;;;;
2021-35438;;;;;;;;;;;;;;
2022-15124;;;;;;;;;;;;;;
2022-15212;;;;;;;;;;;;;;
2022-15402;;;;;;;;;;;;;;
2022-15435;;;;;;;;;;;;;;
2022-15572;;;;;;;;;;;;;;
2023-02011;;;;;;;;;;;;;;
2023-02111;;;;;;;;;;;;;;
2018-01213;;;;;;;;;;;;;;
2018-05516;53.0;47.0;35.0;-113.0;51.0;11.0;;;;;;;53.793055555555554;-112.14694444444444
2022-15200;53.0;47.0;35.0;-113.0;51.0;11.0;;;;;;;53.793055555555554;-112.14694444444444
2018-00001;56.0;26.0;9.9;-111.0;12.0;23.0;;;;;;;56.43608333333333;-110.7936111111111
2018-00013;56.0;25.0;56.9;-111.0;6.0;29.3;;;;;;;56.432472222222216;-110.89186111111111
2018-00028;56.0;26.0;10.7;-111.0;12.0;23.3;;;;;;;56.43630555555555;-110.79352777777777
2018-01600;55.0;22.0;22.0;-111.0;10.0;23.0;;;;;;;55.37277777777778;-110.82694444444444
2018-01761;55.0;22.0;14.0;-111.0;10.0;36.0;;;;;;;55.370555555555555;-110.82333333333332
2018-01796;55.0;22.0;19.0;-111.0;9.0;7.0;;;;;;;55.371944444444445;-110.84805555555555
2018-02168;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02263;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02413;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02474;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02492;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02575;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02580;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02584;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02586;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02599;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02636;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02662;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02685;;;;;;;11.0;416523.93;6290248.47;32611.0;;;56.74873508334838;-118.36500541091274
2018-02704;;;;;;;11.0;418898.93;6290584.47;32611.0;;;56.75217186040865;-118.32628758813307
2018-02729;;;;;;;11.0;414782.85;6290924.47;32611.0;;;56.754491517817286;-118.39369103915698
2018-02841;;;;;;;11.0;416674.0;6298080.0;32611.0;;;56.81909888343865;-118.36510452651146
2018-03181;;;;;;;11.0;418736.19;6299446.63;32611.0;;;56.831737839109714;-118.3317663007587
2018-03182;;;;;;;11.0;417063.0;6290604.93;32611.0;;;56.75203273522063;-118.35630869264486
2018-03183;;;;;;;11.0;414054.5;6291206.83;32611.0;;;56.75689376252369;-118.40569359488592
2018-03184;;;;;;;11.0;418948.66;6290272.97;32611.0;;;56.74938278603534;-118.3253760395382
2018-03185;;;;;;;11.0;418948.66;6290272.97;32611.0;;;56.74938278603534;-118.3253760395382
2018-03186;;;;;;;11.0;418948.66;6290272.97;32611.0;;;56.74938278603534;-118.3253760395382
2018-04409;54.0;34.0;59.0;-110.0;28.0;15.0;;;;;;;54.58305555555556;-109.52916666666667
2018-04628;55.0;6.0;38.12;-118.0;45.0;38.68;;;;;;;55.11058888888889;-117.23925555555556
2018-04884;55.0;0.0;46.0;-112.0;0.0;17.0;;;;;;;55.01277777777778;-111.99527777777777
